nUMIs	nGenes	cell_type
505	313	B
579	330	B
1085	551	B
5916	1095	B
4251	1156	B
1937	827	B
4829	906	B
3646	1252	B
1814	718	T
4569	1617	T
2090	843	B
4642	1179	B
4115	1461	T
3316	964	B
2607	873	T
712	395	B
4470	1499	B
8022	1979	B
1983	762	B
2294	1330	B
3705	1130	B
3619	1235	B
3432	1012	B
543	360	B
731	430	B
569	343	B
1970	785	B
795	441	B
1655	795	B
797	439	B
1854	714	B
1251	760	B
2533	886	B
2668	1044	T
3652	986	B
1610	700	B
922	487	B
3752	1026	B
4005	1162	B
3416	917	B
5947	1794	B
2743	1048	B
4691	1274	B
3924	1133	B
2000	857	B
1400	584	T
1266	757	B
6835	2032	T
1683	454	B
520	268	B
3791	953	B
5138	975	B
3179	974	B
1977	790	T
4403	1371	B
680	446	B
2791	812	B
3039	1159	T
10067	2488	B
11497	2864	T
917	596	B
3895	1695	T
2290	931	B
2146	765	B
1881	619	B
2297	739	B
3193	1116	B
4052	1250	B
3370	1135	B
3666	1147	B
549	339	B
4102	982	B
961	472	B
5341	1635	B
3689	1005	B
2305	722	B
535	219	B
2479	798	T
1733	556	T
2792	970	T
